City,Lat,Lon,Wind Speed,Cloudiness,Humidity,Country,Temperature
isilkul,54.91,71.27,9.82,99,62,RU,45.66
bereda,43.27,-7.54,1.12,40,100,ES,49.6
cidreira,-30.18,-50.21,3.24,23,71,BR,64.42
baruun-urt,46.68,113.28,10.96,0,19,MN,56.62
itarema,-2.92,-39.92,2.93,100,88,BR,77.94
grindavik,63.84,-22.43,1.12,51,80,IS,33.71
qorveh,35.17,47.8,2.89,0,42,IR,37.11
esso,55.93,158.7,4.52,100,85,RU,25.72
coihaique,-45.58,-72.07,2.24,40,70,CL,44.6
along,28.17,94.77,1.07,0,29,IN,83.07
faya,18.39,42.45,2.71,65,82,SA,60.78
hithadhoo,-0.6,73.08,7.9,15,67,MV,84.51
avarua,-21.21,-159.78,2.24,100,89,CK,84.2
waingapu,-9.66,120.26,4.29,10,69,ID,83.39
mataura,-46.19,168.86,11.99,18,51,NZ,72.0
airai,-8.93,125.41,0.94,97,69,TL,66.65
axim,4.87,-2.24,2.42,75,84,GH,80.35
ahualulco,22.4,-101.17,13.87,40,12,MX,75.2
sobolevo,54.43,31.9,7.09,0,84,RU,31.3
lensk,60.73,114.93,10.38,77,73,RU,36.23
bud,39.45,-86.18,13.87,90,61,US,50.4
ternate,0.8,127.4,7.14,18,69,ID,85.28
narsaq,60.92,-46.05,49.44,100,33,GL,46.4
grand baie,-20.02,57.58,14.99,40,83,MU,78.91
tutoia,-2.76,-42.27,6.44,100,87,BR,79.84
riyadh,24.69,46.72,8.05,75,28,SA,71.6
bac lieu,9.29,105.72,8.97,16,54,VN,87.75
torbay,47.67,-52.73,21.92,5,96,CA,32.54
cartagena,10.4,-75.51,10.29,74,88,CO,82.4
muisne,0.6,-80.03,1.5,100,86,EC,77.0
sumbe,-11.21,13.84,4.09,90,88,AO,77.43
chuy,-33.7,-53.46,6.06,0,79,UY,60.82
hasaki,35.73,140.83,11.41,75,66,JP,54.88
kapaa,22.08,-159.32,10.29,90,73,US,75.56
samarkand,39.65,66.96,9.17,90,77,UZ,60.8
yumen,40.28,97.2,3.85,75,16,CN,54.59
sahibganj,25.25,87.65,4.23,22,30,IN,88.5
camacha,33.08,-16.33,13.87,75,82,PT,60.8
katsuura,35.13,140.3,9.17,75,66,JP,55.87
pervomayskiy,53.25,40.29,17.47,99,90,RU,31.62
coquimbo,-29.95,-71.34,3.36,76,82,CL,59.0
channel-port aux basques,47.57,-59.14,18.92,8,97,CA,31.78
san francisco,37.77,-122.42,11.41,75,76,US,52.99
dikson,73.51,80.55,9.95,100,96,RU,14.99
listvyanka,51.85,104.87,13.42,90,69,RU,35.6
barrow,71.29,-156.79,18.34,90,92,US,26.6
the valley,18.22,-63.06,6.93,20,78,AI,80.2
saint-francois,46.42,3.91,2.24,16,86,FR,41.74
nikolskoye,59.7,30.79,2.24,6,92,RU,23.0
raudeberg,61.99,5.14,25.28,100,87,NO,43.93
samana,19.21,-69.34,6.64,2,88,DO,76.55
tiksi,71.69,128.87,19.98,94,90,RU,6.48
nchelenge,-9.35,28.73,5.82,99,66,ZM,67.48
kununurra,-15.77,128.73,6.93,100,49,AU,89.6
port antonio,18.18,-76.46,4.7,20,74,JM,77.45
litovko,49.24,135.17,5.99,0,37,RU,54.97
ancud,-41.87,-73.82,4.7,0,100,CL,37.4
bethanien,-26.5,17.16,0.63,0,23,NA,64.69
naron,43.52,-8.15,1.12,40,100,ES,52.2
port pirie,-33.18,138.02,9.17,42,51,AU,62.6
arkhara,49.42,130.08,6.73,0,38,RU,56.89
manokwari,-0.87,134.08,2.82,22,76,ID,82.26
saldanha,-33.01,17.94,13.87,100,100,ZA,59.0
deputatskiy,69.3,139.9,16.11,73,91,RU,24.53
havoysund,71.0,24.66,4.7,100,68,NO,28.4
suntar,62.14,117.63,11.21,97,79,RU,35.33
mildura,-34.2,142.15,4.7,0,42,AU,64.67
hobart,-42.88,147.33,12.75,75,55,AU,58.3
concordia,-31.39,-58.02,4.7,0,76,AR,60.01
harper,4.38,-7.72,0.63,13,84,LR,78.6
almeria,37.17,-2.33,8.05,59,51,ES,49.8
alofi,-19.06,-169.92,12.75,99,69,NU,82.4
micoud,13.82,-60.9,17.09,19,76,LC,77.0
pemba,-12.97,40.52,10.29,20,83,MZ,75.2
chokurdakh,70.63,147.92,12.95,100,97,RU,29.89
camabatela,-8.19,15.38,0.89,98,68,AO,63.54
nautla,20.22,-96.78,10.56,1,86,MX,80.01
qaanaaq,77.48,-69.36,5.19,100,72,GL,12.18
luanda,-8.84,13.23,3.2,70,86,AO,78.15
lata,40.16,-8.33,2.24,75,93,PT,54.55
djibo,14.1,-1.63,4.99,3,26,BF,83.68
baykit,61.67,96.37,5.46,72,82,RU,34.92
walvis bay,-22.96,14.51,4.7,1,64,NA,67.14
ribeira grande,38.52,-28.7,5.37,0,74,PT,60.96
port huron,42.97,-82.42,6.93,75,69,US,45.09
waipawa,-41.41,175.52,23.04,58,77,NZ,61.79
longyearbyen,78.22,15.64,2.24,20,69,SJ,-7.6
hailar,49.2,119.7,8.1,0,20,CN,60.82
nampula,-15.12,39.27,3.22,59,88,MZ,63.18
saint george,37.1,-113.58,8.05,1,34,US,60.44
veraval,20.9,70.37,13.27,19,41,IN,86.13
valparaiso,-33.04,-71.63,5.82,90,93,CL,55.09
rincon,32.3,-81.24,5.82,1,63,US,60.53
arraial do cabo,-22.97,-42.03,5.82,79,76,BR,72.41
maunabo,18.01,-65.9,3.36,75,83,PR,77.72
sapele,5.89,5.68,2.35,71,90,NG,75.06
obo,5.4,26.49,3.13,100,77,CF,69.75
garowe,8.41,48.48,9.86,47,64,SO,76.33
skjervoy,70.03,20.97,11.27,100,88,NO,31.64
batticaloa,7.71,81.69,4.99,17,70,LK,84.94
atuona,-9.8,-139.03,5.41,44,65,PF,82.96
ladario,-19.0,-57.6,1.12,0,63,BR,70.2
bintulu,3.17,113.03,4.7,75,70,MY,87.39
sitka,57.05,-135.33,1.54,20,48,US,44.33
maralal,1.1,36.7,3.76,68,55,KE,59.22
bluff,-46.6,168.33,11.99,20,51,NZ,72.0
yellowknife,62.46,-114.35,9.17,20,51,CA,14.0
kavieng,-2.57,150.8,3.56,95,69,PG,84.36
cherskiy,68.75,161.3,15.97,80,96,RU,23.36
braine-le-comte,50.61,4.14,1.12,0,87,BE,49.05
pindasan,7.28,125.86,10.29,20,49,PH,89.6
new norfolk,-42.78,147.06,12.75,75,55,AU,58.01
mar del plata,-38.0,-57.56,4.7,100,87,AR,57.54
necochea,-38.55,-58.74,3.0,95,89,AR,55.62
sampang,-7.19,113.24,2.39,67,68,ID,84.63
bambous virieux,-20.34,57.76,14.99,40,83,MU,78.44
tasiilaq,65.61,-37.64,17.22,99,58,GL,26.6
komsomolskiy,40.43,71.72,4.7,66,62,UZ,55.92
rongcheng,30.63,117.85,8.95,0,64,CN,59.0
tinskoy,56.15,96.92,9.69,0,59,RU,41.52
saint-pierre,-21.34,55.48,6.93,18,73,RE,71.53
pa daet,19.5,99.99,5.82,100,65,TH,82.4
kambove,-10.88,26.6,4.45,76,67,CD,58.95
french harbor,16.35,-86.43,25.55,3,81,HN,83.01
salalah,17.02,54.09,11.41,75,74,OM,82.4
portland,45.52,-122.68,9.17,20,47,US,52.97
hoquiam,46.98,-123.89,4.7,1,76,US,47.5
bafq,31.61,55.41,13.49,16,33,IR,68.04
upernavik,72.79,-56.15,2.3,100,86,GL,20.37
novouzensk,50.46,48.14,24.38,100,78,RU,37.51
touros,-5.2,-35.46,3.36,20,94,BR,77.0
cayenne,4.93,-52.33,8.41,75,83,GF,78.8
kailua,21.4,-157.74,14.99,75,65,US,78.94
lucapa,-8.42,20.74,3.8,95,75,AO,66.06
jiayuguan,39.82,98.3,4.81,100,16,CN,53.06
tigil,57.8,158.67,6.08,15,91,RU,27.32
cururupu,-1.83,-44.87,4.05,100,91,BR,78.08
mahebourg,-20.41,57.7,14.99,40,83,MU,78.19
luderitz,-26.65,15.16,8.05,0,87,NA,57.2
lagos,6.58,3.75,2.24,20,83,NG,82.4
isangel,-19.55,169.27,5.82,20,55,VU,86.0
guerrero negro,27.98,-114.06,19.04,7,71,MX,61.11
hobyo,5.35,48.53,8.08,22,72,SO,82.49
bermeo,43.42,-2.72,1.14,75,100,ES,55.69
khorramshahr,30.44,48.17,6.93,0,45,IR,68.0
bonavista,48.65,-53.11,14.0,45,85,CA,33.01
carauari,-4.88,-66.9,5.01,89,94,BR,74.62
yulara,-25.24,130.99,6.93,60,11,AU,89.6
derzhavinsk,51.1,66.32,7.36,89,58,KZ,43.47
homer,59.64,-151.55,6.93,90,33,US,39.83
buraydah,26.33,43.98,12.75,0,48,SA,62.6
kasongo-lunda,-6.47,16.82,0.83,100,79,CD,71.1
malakal,9.53,31.66,6.87,90,16,SS,85.71
la libertad,-2.23,-80.9,6.2,100,81,EC,77.45
east london,-33.02,27.91,9.17,100,77,ZA,69.8
hollins,37.34,-79.94,3.36,75,40,US,50.18
omboue,-1.57,9.26,10.49,100,86,GA,76.8
carnarvon,-24.87,113.63,20.8,7,69,AU,82.4
namibe,-15.2,12.15,5.12,31,66,AO,75.83
bredasdorp,-34.53,20.04,14.99,100,64,ZA,68.0
pemangkat,1.17,108.97,6.76,95,68,ID,83.93
kichera,55.94,110.1,7.14,100,63,RU,37.49
ponta do sol,32.67,-17.1,6.93,20,77,PT,57.0
naze,28.37,129.48,17.22,75,82,JP,66.2
codrington,-38.27,141.97,10.25,95,59,AU,58.06
sao miguel do araguaia,-13.28,-50.16,3.87,92,86,BR,71.83
port lincoln,-34.73,135.87,7.63,100,57,AU,59.67
sinnamary,5.38,-52.95,13.06,100,79,GF,78.96
vung tau,10.35,107.08,8.34,51,67,VN,84.94
caravelas,-17.71,-39.25,5.01,3,86,BR,78.01
comodoro rivadavia,-45.87,-67.5,3.36,3,57,AR,51.8
krasnoborsk,61.56,45.93,3.38,34,94,RU,24.91
pangnirtung,66.15,-65.71,8.16,100,88,CA,25.32
clyde river,70.47,-68.59,14.99,75,84,CA,1.4
marawi,8.0,124.29,4.5,23,40,PH,84.78
souillac,-20.52,57.52,14.99,40,83,MU,78.39
sao joao da barra,-21.64,-41.05,12.17,100,87,BR,71.51
la baule-escoublac,47.29,-2.36,3.36,0,100,FR,49.42
avera,33.19,-82.53,6.93,1,62,US,56.05
benguela,-12.58,13.41,3.06,5,82,AO,77.29
hopkinsville,36.87,-87.49,6.93,1,31,US,58.15
antofagasta,-23.65,-70.4,5.82,75,72,CL,66.2
fort nelson,58.81,-122.7,4.7,20,27,CA,35.6
normandin,48.83,-72.53,8.05,90,94,CA,32.2
sao filipe,14.9,-24.5,9.84,35,75,CV,74.5
pevek,69.7,170.31,13.89,6,92,RU,11.39
mouila,-1.87,11.06,3.36,99,91,GA,73.72
namatanai,-3.67,152.43,3.13,98,71,PG,84.29
karratha,-20.74,116.85,17.56,0,37,AU,89.96
kunming,25.04,102.72,13.42,90,100,CN,53.73
bethel,41.37,-73.41,4.7,1,69,US,37.51
kennett,36.24,-90.06,9.17,1,55,US,60.87
salvador,13.83,-88.92,1.12,75,88,SV,78.49
husavik,66.04,-17.34,19.46,90,74,IS,30.2
tabuk,17.42,121.44,5.06,46,59,PH,84.36
klaksvik,62.23,-6.59,29.97,99,69,FO,35.6
rorvik,64.86,11.24,22.57,100,89,NO,39.67
peringat,6.03,102.28,6.93,40,63,MY,91.4
port hedland,-20.32,118.57,13.87,20,46,AU,91.4
sangar,63.92,127.47,10.92,100,91,RU,33.37
nalvo,16.81,120.51,9.24,4,48,PH,87.21
vardo,70.37,31.11,10.33,48,94,NO,26.17
san benito,16.91,-89.91,6.91,12,64,GT,80.35
kutum,14.2,24.67,7.4,100,18,SD,63.66
christchurch,-43.53,172.63,11.41,94,37,NZ,69.91
gympie,-26.19,152.66,3.0,0,46,AU,77.5
ranfurly,-45.13,170.1,5.01,34,47,NZ,66.0
ambilobe,-13.2,49.05,4.74,0,82,MG,71.83
chilca,-12.52,-76.74,10.29,1,83,PE,71.6
kahului,20.89,-156.47,12.75,40,61,US,75.67
neokhorion,41.18,23.25,1.5,50,85,GR,52.48
evensk,61.95,159.23,0.69,100,88,RU,15.84
poum,-20.23,164.02,10.92,87,72,NC,79.79
houma,29.6,-90.72,6.93,90,83,US,71.01
arrah,25.57,84.67,6.93,40,58,IN,82.4
kargasok,59.06,80.86,7.52,53,90,RU,35.44
boshnyakovo,49.63,142.17,3.47,64,91,RU,30.2
lavrentiya,65.58,-171.0,9.89,97,96,RU,32.4
de aar,-30.65,24.01,11.23,28,34,ZA,62.17
ballina,-28.87,153.57,14.99,6,53,AU,72.21
hukuntsi,-24.0,21.75,9.04,0,44,BW,65.26
ust-nera,64.57,143.2,7.05,100,86,RU,26.82
qeshm,26.96,56.27,6.93,75,69,IR,78.8
skibbereen,51.55,-9.27,8.05,75,93,IE,48.2
ust-kuyga,70.02,135.6,22.86,84,91,RU,22.1
nakskov,54.84,11.13,5.99,92,76,DK,47.46
quzhou,28.96,118.87,8.68,1,49,CN,59.18
san patricio,19.22,-104.7,11.83,0,63,MX,75.4
kamiiso,41.82,140.65,10.29,40,70,JP,42.8
puerto carreno,6.19,-67.49,5.53,100,66,CO,82.69
wageningen,51.97,5.67,1.12,21,81,NL,46.15
poquoson,37.12,-76.35,8.05,1,58,US,50.61
ape,57.54,26.69,4.9,97,85,LV,33.85
maxixe,-23.86,35.35,5.21,0,91,MZ,68.9
okha,53.57,142.95,12.37,100,95,RU,32.09
zhigansk,66.77,123.37,15.61,71,92,RU,25.92
zamora,-4.07,-78.96,2.98,67,54,EC,67.35
constitucion,-35.33,-72.42,10.02,75,81,CL,52.57
hualmay,-11.1,-77.61,7.45,6,77,PE,72.63
lahaina,20.88,-156.68,12.75,40,61,US,75.47
chabahar,25.29,60.64,6.22,60,79,IR,77.14
wukari,7.85,9.78,3.29,99,66,NG,77.22
khovu-aksy,51.13,93.6,1.07,31,42,RU,40.17
krasnoselkup,65.7,82.47,15.3,100,99,RU,35.58
kudahuvadhoo,2.67,72.89,5.19,0,66,MV,84.38
ayan,56.45,138.17,1.72,86,81,RU,35.53
xining,36.62,101.77,2.62,86,16,CN,47.75
georgetown,5.41,100.34,2.24,20,63,MY,91.2
irati,-25.47,-50.65,1.74,3,75,BR,52.99
reichenau,50.91,14.96,1.01,16,65,PL,43.27
bontang,0.13,117.5,5.37,1,66,ID,84.43
changping,40.22,116.22,8.95,6,10,CN,71.31
vestmannaeyjar,63.44,-20.27,14.27,100,83,IS,41.76
mpika,-11.83,31.45,7.43,90,63,ZM,60.42
severo-kurilsk,50.68,156.12,7.27,70,95,RU,31.15
lahat,-3.8,103.53,2.8,93,63,ID,86.49
olafsvik,64.89,-23.71,23.22,51,88,IS,33.84
tripoli,32.88,13.19,12.08,1,59,LY,60.8
zhezkazgan,47.8,67.71,2.24,90,42,KZ,41.0
lanivtsi,49.86,26.09,5.01,96,69,UA,35.82
lima,-12.04,-77.03,10.29,1,83,PE,71.6
nishihara,26.18,127.76,27.51,75,72,JP,65.57
esperance,-33.87,121.9,20.8,100,16,AU,95.0
miles city,46.41,-105.84,9.17,90,92,US,26.69
mount gambier,-37.83,140.77,9.17,90,67,AU,57.2
curaca,-8.99,-39.91,5.99,99,76,BR,76.14
miraflores,19.22,-98.81,9.17,5,21,MX,71.29
abu kamal,34.45,40.92,10.56,0,52,SY,59.7
ouesso,1.61,16.05,3.65,100,88,CG,69.53
santiago,-33.46,-70.65,5.82,75,72,CL,59.0
pochutla,15.74,-96.47,7.31,79,81,MX,78.01
mbandaka,0.05,18.26,4.21,100,89,CD,71.22
bucyrus,40.81,-82.98,9.17,20,45,US,48.6
perth,-31.93,115.83,8.05,75,78,AU,77.49
aquiraz,-3.9,-38.39,2.24,40,88,BR,82.31
ixtapa,20.7,-105.2,4.7,20,73,MX,75.2
praia da vitoria,38.73,-27.07,11.41,40,82,PT,60.8
san quintin,30.48,-115.95,15.14,20,81,MX,59.65
usak,38.5,29.42,7.31,17,43,TR,44.2
havre-saint-pierre,50.23,-63.6,9.17,1,92,CA,32.0
juneau,58.3,-134.42,4.05,20,36,US,46.4
belfast,54.58,-5.93,1.12,100,93,GB,48.51
gunjur,13.2,-16.73,7.07,0,79,GM,71.17
sola,-13.88,167.55,11.88,95,72,VU,81.48
ostrovnoy,68.05,39.51,10.6,0,93,RU,14.67
ilulissat,69.22,-51.1,6.93,86,68,GL,28.4
college,64.86,-147.8,1.45,75,35,US,42.6
muswellbrook,-32.27,150.9,0.49,0,36,AU,68.41
ilhabela,-23.78,-45.36,3.18,28,65,BR,70.39
jalu,29.03,21.55,6.26,0,47,LY,57.31
taoudenni,22.68,-3.98,6.11,0,15,ML,81.05
saint-philippe,-21.36,55.77,6.93,22,73,RE,71.02
isla mujeres,21.23,-86.73,10.29,20,78,MX,80.29
nanortalik,60.14,-45.24,38.36,100,76,GL,36.9
sao jose da coroa grande,-8.9,-35.15,5.91,68,78,BR,79.97
nova olimpia,-14.8,-57.29,1.14,74,80,BR,73.76
nago,26.59,127.98,20.8,90,77,JP,65.59
ponta delgada,37.73,-25.67,12.75,20,82,PT,57.2
half moon bay,37.46,-122.43,3.36,90,87,US,53.47
victoria,22.29,114.16,16.11,7,43,HK,71.89
bulungu,-4.55,18.6,2.17,100,86,CD,72.05
quirinopolis,-18.45,-50.45,2.46,0,68,BR,66.69
cardston,49.2,-113.3,6.93,75,62,CA,17.69
high level,58.52,-117.14,3.36,75,54,CA,28.4
hermon,44.81,-68.91,6.93,75,55,US,33.91
kharan,28.58,65.42,5.53,86,21,PK,81.7
marmora,44.46,7.09,1.5,0,55,IT,47.01
parvatipuram,18.78,83.43,1.43,0,37,IN,92.66
tetela del volcan,18.87,-98.72,3.85,0,17,MX,69.19
general pico,-35.66,-63.76,6.4,100,62,AR,61.21
nieuw amsterdam,5.88,-55.08,5.82,100,88,SR,78.15
eureka,40.8,-124.16,8.03,75,76,US,50.25
ewa beach,21.32,-158.01,9.31,75,54,US,79.29
linqing,36.85,115.71,18.61,0,20,CN,68.92
port hawkesbury,45.62,-61.35,6.93,90,74,CA,34.93
leshukonskoye,64.9,45.76,2.53,0,96,RU,20.28
rodino,52.5,80.25,8.86,0,60,RU,42.6
ahipara,-35.17,173.17,20.09,79,73,NZ,68.9
noumea,-22.28,166.46,8.05,90,48,NC,87.8
qui nhon,13.77,109.23,2.68,97,63,VN,85.57
peniche,39.36,-9.38,2.24,75,93,PT,54.16
jizan,17.33,42.67,3.36,20,74,SA,82.4
iskateley,67.68,53.15,9.51,67,96,RU,13.03
quelimane,-17.88,36.89,3.36,20,94,MZ,71.6
asau,46.43,26.4,3.36,14,74,RO,35.17
popondetta,-8.75,148.25,5.32,77,75,PG,83.79
port blair,11.67,92.75,7.54,100,72,IN,83.19
yar-sale,66.83,70.83,4.05,44,91,RU,12.34
vostok,46.49,135.88,7.4,0,41,RU,43.97
orlik,52.52,99.83,1.66,99,51,RU,31.62
fare,-16.7,-151.02,10.96,60,70,PF,83.44
roald,62.58,6.13,29.97,100,93,NO,44.85
keningau,5.34,116.16,5.82,20,66,MY,89.6
tura,25.52,90.22,3.8,1,24,IN,88.61
phuket,8.0,98.25,10.29,20,62,TH,89.6
katangli,51.71,143.23,10.49,97,90,RU,34.0
san cristobal,7.77,-72.22,2.24,65,61,VE,68.31
beringovskiy,63.05,179.32,10.31,98,94,RU,14.68
maceio,-9.67,-35.74,7.67,70,81,BR,79.41
pangai,-19.8,-174.35,9.17,75,69,TO,80.6
bathsheba,13.22,-59.52,16.11,40,69,BB,80.6
general roca,-39.03,-67.58,11.32,70,66,AR,55.4
bobrov,51.1,40.03,15.05,6,83,RU,31.51
plaster rock,46.91,-67.39,5.82,90,64,CA,32.7
discovery bay,37.91,-121.6,3.83,90,76,US,53.56
xushan,30.18,121.25,17.9,20,48,CN,61.97
leningradskiy,69.38,178.42,4.36,85,91,RU,18.28
ca mau,9.18,105.15,8.59,11,46,VN,91.38
troitsko-pechorsk,62.71,56.2,4.25,100,93,RU,26.71
anadyr,64.75,177.48,13.42,90,84,RU,8.26
beloha,-25.17,45.05,6.82,100,73,MG,71.31
fort myers beach,26.45,-81.95,8.05,75,83,US,76.28
oistins,13.07,-59.53,16.11,40,69,BB,80.6
jonuta,18.08,-92.13,4.88,55,68,MX,80.13
saint-louis,16.33,-15.0,2.24,6,23,SN,87.8
olot,42.18,2.49,3.36,1,93,ES,46.31
sinnai,39.3,9.2,5.82,0,87,IT,46.27
agirish,61.92,63.02,2.64,98,91,RU,32.9
hofn,64.25,-15.21,20.24,5,89,IS,30.72
stupava,48.27,17.03,5.82,13,63,SK,42.12
kamenka,51.32,42.77,13.0,92,93,RU,33.01
nuevo progreso,23.17,-97.95,1.01,99,74,MX,78.94
pacific grove,36.62,-121.92,4.7,90,76,US,53.53
karatuzskoye,53.61,92.87,2.35,0,52,RU,44.6
brigham city,41.51,-112.02,16.11,75,34,US,52.88
bilibino,68.05,166.44,3.13,91,87,RU,16.41
vilhena,-12.74,-60.15,2.24,28,83,BR,68.97
vanavara,60.34,102.28,4.92,0,69,RU,37.85
palivere,58.97,23.89,10.0,100,77,EE,41.52
kentau,43.52,68.51,5.95,100,72,KZ,57.65
tucuma,-0.18,-50.05,4.34,97,93,BR,76.69
shahpura,27.38,75.97,2.24,54,30,IN,84.2
monrovia,6.3,-10.8,2.01,55,82,LR,80.44
mednogorskiy,43.92,41.18,2.39,98,64,RU,33.64
aswan,24.09,32.91,7.94,0,39,EG,59.47
berdigestyakh,62.1,126.7,11.54,100,83,RU,34.05
najran,17.49,44.13,9.17,40,29,SA,78.8
saint-joseph,-21.37,55.62,6.93,19,73,RE,71.1
omsukchan,62.53,155.8,1.14,99,86,RU,19.24
hibbing,47.43,-92.94,13.87,1,47,US,32.32
tessalit,20.2,1.01,4.32,0,14,ML,77.38
iqaluit,63.75,-68.51,14.99,90,79,CA,23.0
nioro,13.35,-15.75,6.15,2,70,GM,70.59
motygino,58.18,94.76,3.58,0,64,RU,40.98
novoagansk,61.94,76.66,8.7,100,97,RU,37.13
zyryanka,65.75,150.85,15.26,22,97,RU,30.45
hit,33.64,42.83,8.05,36,46,IQ,64.17
palauig,15.44,119.9,8.41,4,60,PH,86.2
shenjiamen,29.96,122.3,27.16,0,64,CN,54.36
mount isa,-20.73,139.5,11.41,1,10,AU,87.8
pabrade,55.0,25.78,4.7,59,54,LT,32.16
bowen,-20.02,148.23,5.82,0,36,AU,89.26
elizabethton,36.35,-82.21,2.64,40,54,US,47.46
qaqortoq,60.72,-46.03,49.44,100,33,GL,46.4
brae,60.4,-1.35,28.86,100,93,GB,45.19
musafirkhana,26.37,81.8,4.65,0,16,IN,92.71
pozo colorado,-23.49,-58.8,3.62,0,47,PY,62.22
jaru,-10.44,-62.47,0.63,100,90,BR,74.44
tyssedal,60.12,6.56,11.01,100,93,NO,44.31
dingle,11.0,122.67,6.91,23,56,PH,87.64
tommot,58.96,126.29,8.32,100,80,RU,37.13
cherdyn,60.4,56.48,2.77,100,92,RU,32.27
liusha,27.21,108.59,5.21,57,47,CN,55.42
bahia blanca,-38.72,-62.27,12.03,99,78,AR,61.34
loandjili,-4.76,11.86,6.93,100,88,CG,78.96
flinders,-34.58,150.86,3.36,0,30,AU,68.99
dukat,62.55,155.55,0.27,100,85,RU,17.62
lodwar,3.12,35.6,9.06,96,45,KE,84.0
bourail,-21.57,165.48,1.99,71,67,NC,79.5
chardara,41.25,67.97,16.73,100,79,KZ,58.62
irpa irpa,-17.72,-66.27,5.82,0,48,BO,64.4
mayskiy,47.69,40.1,8.95,20,80,RU,34.38
fort frances,48.6,-93.4,11.41,90,58,CA,30.58
voznesenye,61.01,35.48,6.11,0,95,RU,28.42
makinsk,52.63,70.42,14.05,100,57,KZ,41.58
batagay,67.63,134.63,4.99,98,83,RU,33.62
lucea,18.45,-78.17,2.24,75,83,JM,80.62
lusambo,-4.97,23.45,0.83,97,84,CD,71.08
shumyachi,53.86,32.42,6.96,0,85,RU,31.15
colares,38.8,-9.45,8.05,40,93,PT,55.15
grajau,-5.82,-46.14,1.81,94,86,BR,75.16
